Gene	Mean	Std	Median	Max	Min	CV
ENSG00000130045	-0.06990349875271486	0.0768853400026365	-0.0731075064222047	0.1247720524091813	-0.2713778034032754	-1.100035645298842
ENSG00000177984	-0.11177413169007236	0.06282786352122198	-0.1205777018599465	0.1849338407276591	-0.2527161025963642	-0.5621469300673927
ENSG00000164871	-0.2634949709044227	0.07307814154200855	-0.2641213998222316	0.1652022730567715	-0.4669033892124014	-0.27735221971547336
ENSG00000255537	-0.04694832224042393	0.05936472889153078	-0.05231779307629865	0.2175323461846803	-0.1694918282847302	-1.2647390460071677
ENSG00000279711	0.012187233970720933	0.052535722170658945	0.01500095547380735	0.1577162896778483	-0.1339049100498185	4.307183275877896
ENSG00000211789	0.12118541835690029	0.047754369807537236	0.1189467478068977	0.2474743099031058	-0.0023496929975807	0.39402784738040664
ENSG00000235488	-0.3361159595579412	0.03890668941839124	-0.3342918863774381	-0.2010265052101602	-0.4415307547630351	-0.11575721379520534
ENSG00000122043	0.029675562224559256	0.05444748550820989	0.0258234409551165	0.1947983948245666	-0.1062126900175482	1.8341402832911404
ENSG00000279090	0.015622684148883943	0.05847054696714623	0.01408154456275045	0.2007169426320575	-0.1319135795203061	3.7402755924881004
ENSG00000259779	-0.1251117131918819	0.03656978379417894	-0.124678047625632	-0.0015406625714641	-0.234129742907628	-0.2923204076197417
ENSG00000260042	0.043179913751000186	0.05518051596640862	0.04139526071524875	0.1798195933576757	-0.0923344550467926	1.2776250558067102
ENSG00000256577	-0.14650552414908527	0.04422672100132987	-0.14718982211613754	-0.0310002296263691	-0.274665245898636	-0.30189810411082124
ENSG00000279734	-0.059304022841203716	0.0922403313117958	-0.06476565700671474	0.2794756335353278	-0.2846015494060888	-1.5556429955651034
ENSG00000186834	4.505512910681517	0.9575975638879841	4.422289128231633	7.772322969017584	2.244102252238819	0.21253860714319073
ENSG00000250626	-0.14319249111476975	0.03995572025191871	-0.1453873047426332	-0.0358244004943528	-0.242577307727526	-0.2790545124675313
ENSG00000163793	0.08451363634099283	0.05205774497119946	0.0833971070020426	0.2297730212616496	-0.0366270952941588	0.6158957094697564
ENSG00000244588	-0.08496408873787692	0.033583636778261296	-0.08482234347477445	0.0174507798950351	-0.1738896294056114	-0.3953151317046377
ENSG00000172318	-0.11034587447802531	0.032907387694057544	-0.110665622952719	0.0296301595572417	-0.1958561889366256	-0.2982474000386106
ENSG00000186162	-0.2747499536608833	0.06598737130102324	-0.2755093510828225	-0.0812316335424199	-0.4533466840932295	-0.24018119833590967
ENSG00000166947	-0.04876767060686446	0.05460929616340854	-0.0527913483669658	0.15879310491344	-0.1726899620058176	-1.1200144609804277
ENSG00000282021	-0.10554169739517279	0.05692048818994258	-0.10744096114250305	0.0531634039674352	-0.2315017548478637	-0.5393686408435067
ENSG00000271860	-0.05386237610085959	0.0465650899000734	-0.0504258955457949	0.0862833045494044	-0.1826465196524981	-0.8646803218647605
ENSG00000273125	0.015938642581300778	0.039579027876103984	0.0143814158526779	0.1499286452504678	-0.0929127629390137	2.481654954291157
ENSG00000126890	-0.10265150057747369	0.04368405569463712	-0.10432416147243259	0.0411924017674732	-0.2152547396783302	-0.4255983734538686
ENSG00000203795	-0.21354907698247666	0.04337679717253485	-0.21468046052120326	-0.0671275053563597	-0.3188774082131316	-0.2031328307000897
ENSG00000204548	-0.10098009063145241	0.04040315543492372	-0.1000362648864306	-0.0158101470414551	-0.2105914409335813	-0.4001497392173088
ENSG00000260456	0.049338059451741315	0.05008190637297773	0.0480155245874821	0.1838599915472381	-0.0602377546321927	1.014870836450095
ENSG00000124469	0.4413294986135142	0.9239357009846298	0.06874487944422075	8.313681696238579	-0.2077506708546921	2.0934806512610153
ENSG00000134489	-0.1387269178105845	0.05449072069755254	-0.14970949136974665	0.2067185168082881	-0.2655898483690569	-0.39281957498478065
